ID,Parameter_ID,Name,Description
GB298-1,GB298,1,
GB298-0,GB298,0,
GB299-1,GB299,1,
GB299-0,GB299,0,
GB300-0,GB300,0,
GB301-1,GB301,1,
GB301-0,GB301,0,
GB302-1,GB302,1,
GB302-0,GB302,0,
GB303-0,GB303,0,
GB304-1,GB304,1,
GB304-0,GB304,0,
GB305-1,GB305,1,
GB305-0,GB305,0,
GB306-1,GB306,1,
GB306-0,GB306,0,
GB309-1,GB309,1,
GB309-0,GB309,0,
GB312-1,GB312,1,
GB312-0,GB312,0,
GB313-1,GB313,1,
GB313-0,GB313,0,
GB314-0,GB314,0,
GB315-0,GB315,0,
GB316-1,GB316,1,
GB316-0,GB316,0,
GB317-0,GB317,0,
GB318-1,GB318,1,
GB318-0,GB318,0,
GB319-0,GB319,0,
GB320-0,GB320,0,
GB321-0,GB321,0,
GB322-1,GB322,1,
GB322-0,GB322,0,
GB323-1,GB323,1,
GB323-0,GB323,0,
GB324-1,GB324,1,
GB324-0,GB324,0,
GB325-1,GB325,1,
GB325-0,GB325,0,
GB326-1,GB326,1,
GB326-0,GB326,0,
GB327-1,GB327,1,
GB327-0,GB327,0,
GB328-1,GB328,1,
GB328-0,GB328,0,
GB329-1,GB329,1,
GB329-0,GB329,0,
GB330-1,GB330,1,
GB330-0,GB330,0,
GB331-0,GB331,0,
GB333-1,GB333,1,
GB334-0,GB334,0,
GB335-0,GB335,0,
GB336-0,GB336,0,
GB400-1,GB400,1,
GB400-0,GB400,0,
GB401-1,GB401,1,
GB401-0,GB401,0,
GB402-0,GB402,0,
GB403-1,GB403,1,
GB403-0,GB403,0,
GB408-1,GB408,1,
GB408-0,GB408,0,
GB409-1,GB409,1,
GB409-0,GB409,0,
GB410-1,GB410,1,
GB410-0,GB410,0,
GB415-1,GB415,1,
GB415-0,GB415,0,
GB421-1,GB421,1,
GB421-0,GB421,0,
GB422-1,GB422,1,
GB422-0,GB422,0,
GB430-0,GB430,0,
GB431-1,GB431,1,
GB431-0,GB431,0,
GB432-1,GB432,1,
GB432-0,GB432,0,
GB433-1,GB433,1,
GB433-0,GB433,0,
GB519-1,GB519,1,
GB519-0,GB519,0,
GB520-1,GB520,1,
GB520-0,GB520,0,
GB521-1,GB521,1,
GB521-0,GB521,0,
GB522-1,GB522,1,
GB522-0,GB522,0,
TE003-1,TE003,1,
TE003-0,TE003,0,
TE004-1,TE004,1,
TE004-0,TE004,0,
TE005-1,TE005,1,
TE005-0,TE005,0,
TE006-1,TE006,1,
TE006-0,TE006,0,
TE007-1,TE007,1,
TE007-0,TE007,0,
TE008-1,TE008,1,
TE008-0,TE008,0,
TE018-1,TE018,1,
TE018-0,TE018,0,
TE019-1,TE019,1,
TE019-0,TE019,0,
TE027-1,TE027,1,
TE027-0,TE027,0,
TE031-1,TE031,1,
TE031-0,TE031,0,
TE037-1,TE037,1,
TE037-0,TE037,0,
TE038-1,TE038,1,
TE038-0,TE038,0,
TE039-1,TE039,1,
TE039-0,TE039,0,
TE050-1,TE050,1,
TE050-0,TE050,0,
TE052-1,TE052,1,
TE052-0,TE052,0,
TE053-1,TE053,1,
TE053-0,TE053,0,
TE054-1,TE054,1,
TE054-0,TE054,0,
TE059-1,TE059,1,
TE059-0,TE059,0,
TE066-1,TE066,1,
TE066-0,TE066,0,
TE078-1,TE078,1,
TE078-0,TE078,0,
TS001-1,TS001,1,
TS001-0,TS001,0,
TS002-1,TS002,1,
TS002-0,TS002,0,
TS003-1,TS003,1,
TS004-0,TS004,0,
TS005-1,TS005,1,
TS006-1,TS006,1,
TS006-0,TS006,0,
TS007-1,TS007,1,
TS008-0,TS008,0,
TS009-1,TS009,1,
TS009-0,TS009,0,
TS010-1,TS010,1,
TS010-0,TS010,0,
TS079-1,TS079,1,
TS079-0,TS079,0,
TS080-1,TS080,1,
TS080-0,TS080,0,
TS086-1,TS086,1,
TS087-0,TS087,0,
TS088-1,TS088,1,
TS088-0,TS088,0,
