ID,Parameter_ID,Name,Description
GB083-?,GB083,?,missing
GB084-0,GB084,0,absent
GB084-1,GB084,1,present
GB084-?,GB084,?,missing
GB086-0,GB086,0,absent
GB086-1,GB086,1,present
GB086-?,GB086,?,missing
GB089-0,GB089,0,absent
GB089-1,GB089,1,present
GB089-?,GB089,?,missing
GB090-0,GB090,0,absent
GB090-1,GB090,1,present
GB090-?,GB090,?,missing
GB091-0,GB091,0,absent
GB091-1,GB091,1,present
GB091-?,GB091,?,missing
GB092-0,GB092,0,absent
GB092-1,GB092,1,present
GB092-?,GB092,?,missing
GB093-0,GB093,0,absent
GB093-1,GB093,1,present
GB093-?,GB093,?,missing
GB094-0,GB094,0,absent
GB094-1,GB094,1,present
GB094-?,GB094,?,missing
GB095-0,GB095,0,absent
GB095-1,GB095,1,present
GB095-?,GB095,?,missing
GB096-0,GB096,0,absent
GB096-1,GB096,1,present
GB096-?,GB096,?,missing
GB098-0,GB098,0,absent
GB098-1,GB098,1,present
GB098-?,GB098,?,missing
GB099-0,GB099,0,absent
GB099-1,GB099,1,present
GB099-?,GB099,?,missing
GB103-0,GB103,0,absent
GB103-1,GB103,1,present
GB103-?,GB103,?,missing
GB104-0,GB104,0,absent
GB104-1,GB104,1,present
GB104-?,GB104,?,missing
GB105-0,GB105,0,absent
GB105-1,GB105,1,present
GB105-?,GB105,?,missing
GB107-0,GB107,0,absent
GB107-1,GB107,1,present
GB107-?,GB107,?,missing
GB108-0,GB108,0,absent
GB108-1,GB108,1,present
GB108-?,GB108,?,missing
GB109-0,GB109,0,absent
GB109-1,GB109,1,present
GB109-?,GB109,?,missing
GB110-0,GB110,0,absent
GB110-1,GB110,1,present
GB110-?,GB110,?,missing
GB111-0,GB111,0,absent
GB111-1,GB111,1,present
GB111-?,GB111,?,missing
GB113-0,GB113,0,absent
GB113-1,GB113,1,present
GB113-?,GB113,?,missing
GB114-0,GB114,0,absent
GB114-1,GB114,1,present
GB114-?,GB114,?,missing
GB115-0,GB115,0,absent
GB115-1,GB115,1,present
GB115-?,GB115,?,missing
GB116-0,GB116,0,absent
GB116-1,GB116,1,present
GB116-?,GB116,?,missing
GB117-0,GB117,0,absent
GB117-1,GB117,1,present
GB117-?,GB117,?,missing
GB118-0,GB118,0,absent
GB118-1,GB118,1,present
GB118-?,GB118,?,missing
GB119-0,GB119,0,absent
GB119-1,GB119,1,present
GB119-?,GB119,?,missing
GB120-0,GB120,0,absent
GB120-1,GB120,1,present
GB120-?,GB120,?,missing
GB121-0,GB121,0,absent
GB121-1,GB121,1,present
GB121-?,GB121,?,missing
GB122-0,GB122,0,absent
GB122-1,GB122,1,present
GB122-?,GB122,?,missing
GB123-0,GB123,0,absent
GB123-1,GB123,1,present
GB123-?,GB123,?,missing
GB124-0,GB124,0,absent
GB124-1,GB124,1,present
GB124-?,GB124,?,missing
GB126-0,GB126,0,absent
GB126-1,GB126,1,present
GB126-?,GB126,?,missing
GB127-0,GB127,0,absent
GB127-1,GB127,1,present
GB127-?,GB127,?,missing
GB129-0,GB129,0,absent
GB129-1,GB129,1,present
GB129-?,GB129,?,missing
GB131-0,GB131,0,absent
GB131-1,GB131,1,present
GB131-?,GB131,?,missing
GB132-0,GB132,0,absent
GB132-1,GB132,1,present
GB132-?,GB132,?,missing
GB133-0,GB133,0,absent
GB133-1,GB133,1,present
GB133-?,GB133,?,missing
GB134-0,GB134,0,absent
GB134-1,GB134,1,present
GB134-?,GB134,?,missing
GB135-0,GB135,0,absent
GB135-1,GB135,1,present
GB135-?,GB135,?,missing
GB136-0,GB136,0,absent
GB136-1,GB136,1,present
GB136-?,GB136,?,missing
GB137-0,GB137,0,absent
GB137-1,GB137,1,present
GB137-?,GB137,?,missing
GB138-0,GB138,0,absent
GB138-1,GB138,1,present
GB138-?,GB138,?,missing
GB139-0,GB139,0,absent
GB139-1,GB139,1,present
GB139-?,GB139,?,missing
GB140-0,GB140,0,absent
GB140-1,GB140,1,present
