ID	Feature_short	Feature	PoS	Function	Level
GB082	PrsVerb	Is there overt morphological marking of present tense on verbs?	verb	TAME	word
GB083	PstVerb	Is there overt morphological marking on the verb dedicated to past tense?	verb	TAME	word
GB084	FutVerb	Is there overt morphological marking on the verb dedicated to future tense?	verb	TAME	word
GB086	PfvIpfv	Is a morphological distinction between perfective and imperfective aspect available on verbs?	verb	TAME	word
GB089	SSuffVerb	Can the S argument be indexed by a suffix/enclitic on the verb in the simple main clause?	verb	argument marking (core)	word
GB090	SPrefVerb	Can the S argument be indexed by a prefix/proclitic on the verb in the simple main clause?	verb	argument marking (core)	word
GB091	ASuffVerb	Can the A argument be indexed by a suffix/enclitic on the verb in the simple main clause?	verb	argument marking (core)	word
GB092	APrefVerb	Can the A argument be indexed by a prefix/proclitic on the verb in the simple main clause?	verb	argument marking (core)	word
GB093	PSuffVerb	Can the P argument be indexed by a suffix/enclitic on the verb in the simple main clause?	verb	argument marking (core)	word
GB094	PPrefVerb	Can the P argument be indexed by a prefix/proclitic on the verb in the simple main clause?	verb	argument marking (core)	word
GB095	VarTam	Are variations in marking strategies of core participants based on TAM distinctions?	verb	argument marking (core)	word
GB096	VarVClass	Are variations in marking strategies of core participants based on verb classes?	verb	argument marking (core)	word
GB098	VarPrs	Are variations in marking strategies of core participants based on person distinctions?	verb	argument marking (core)	word
GB099	SupplPrsVerb	Can verb stems alter according to the person of a core participant?	verb	argument marking (core)	word
GB103	BenApplVerb	Is there a benefactive applicative marker on the verb (including indexing)?	verb	argument marking (non-core)	word
GB104	InstrAppVerb	Is there an instrumental applicative marker on the verb (including indexing)?	verb	argument marking (non-core)	word
GB105	RecPatient	Can the recipient in a ditransitive construction be marked like the monotransitive patient?	verb	argument marking (non-core)	word
GB107	NegVerb	Can standard negation be marked by an affix, clitic or modification of the verb?	verb	negation	word
GB108	DirLocVerb	Is there directional or locative morphological marking on verbs?	verb	argument marking (non-core)	word
GB109	SupplNumVerb	Is there verb suppletion for participant number?	verb	argument marking (core)	word
GB110	SupplTAVerb	Is there verb suppletion for tense or aspect?	verb	TAME	word
GB111	ConjClass	Are there conjugation classes?	verb	TAME+	word
GB113	Transit	Are there verbal affixes or clitics that turn intransitive verbs into transitive ones?	verb	valency	word
GB114	ReflVerb	Is there a phonologically bound reflexive marker on the verb?	verb	valency	word
GB115	RecipVerb	Is there a phonologically bound reciprocal marker on the verb?	verb	valency	word
GB116	ClassVerb	Do verbs classify the shape, size or consistency of absolutive arguments by means of incorporated nouns, verbal affixes or suppletive verb stems?	verb	argument marking (core)	word
GB117	CopPredNom	Is there a copula for predicate nominals?	verb	non-verbal predication	clause
GB118	SVC	Are there serial verb constructions?	verb	verb complex	clause
GB119	MoodAux	Can mood be marked by an inflecting word ("auxiliary verb")?	verb	TAME	clause
GB120	AspectAux	Can aspect be marked by an inflecting word ("auxiliary verb")?	verb	TAME	clause
GB121	TenseAux	Can tense be marked by an inflecting word ("auxiliary verb")?	verb	TAME	clause
GB122	VerbComp	Is verb compounding a regular process?	verb	verb complex	word
GB123	LightVerbs	Are there verb-adjunct (aka light-verb) constructions?	verb	verb complex	clause
GB124	IncorpIntr	Is incorporation of nouns into verbs a productive intransitivizing process?	verb	valency	word
GB126	ExistVerb	Is there an existential verb?	verb	non-verbal predication	clause
GB127	PostureVerb	Are different posture verbs used obligatorily depending on an inanimate locatum's shape or position (e.g. 'to lie' vs. 'to stand')?	verb	non-verbal predication	clause
GB129	FewVerbs	Is there a notably small number, i.e. about 100 or less, of verb roots in the language?	verb	other	word
GB130	OrderSV	What is the pragmatically unmarked order of S and V in intransitive clauses?	not assignable	word order	clause
GB131	OrderVInit	Is a pragmatically unmarked constituent order verb-initial for transitive clauses?	verb	word order	clause
GB132	OrderVMed	Is a pragmatically unmarked constituent order verb-medial for transitive clauses?	verb	word order	clause
GB133	OrderVFin	Is a pragmatically unmarked constituent order verb-final for transitive clauses?	verb	word order	clause
GB134	OrderMainSub	Is the order of constituents the same in main and subordinate clauses?	not assignable	word order	clause
GB135	ClausObjNObj	Do clausal objects usually occur in the same position as nominal objects?	not assignable	word order	clause
GB136	OrderCorArgFix	Is the order of core argument (i.e. S/A/P) constituents fixed?	not assignable	word order	clause
GB137	NegFin	Can standard negation be marked clause-finally?	verb	negation	clause
GB138	NegInit	Can standard negation be marked clause-initially?	verb	negation	clause
GB139	ProhDeclNeg	Is there a difference between imperative (prohibitive) and declarative negation constructions?	verb	negation	clause
GB140	NegLocExNom	Is verbal predication marked by the same negator as all of the following types of predication: locational, existential and nominal?	verb	non-verbal predication	clause
GB146	CtrlEvents	Is there a morpho-syntactic distinction between predicates expressing controlled versus uncontrolled events or states?	noun	argument marking (core)	multiple
GB147	Passive	Is there a morphological passive marked on the lexical verb?	verb	valency	word
GB148	Antipassive	Is there a morphological antipassive marked on the lexical verb?	verb	valency	word
GB149	Inverse	Is there a morphologically marked inverse on verbs?	verb	argument marking (core)	word
GB150	ClauseChain	Is there clause chaining?	verb	verb complex	clause
GB151	CorefVerb	Is there an overt verb marker dedicated to signalling coreference or noncoreference between the subject of one clause and an argument of an adjacent clause ("switch reference")?	verb	argument marking (core)	clause
GB152	SimSeqClaus	Is there a morphologically marked distinction between simultaneous and sequential clauses?	verb	TAME	clause
GB155	CausAffix	Are causatives formed by affixes or clitics on verbs?	verb	valency	word
