author,year,matchauthoryear,matchtitle,matchtype,matchid
Aso,2010,reiko2010,Hateruma (Yaeyama Ryukyuan),grammar_sketch,hh:s:Aso:Hateruma
Georg,2003,,Mongghul,grammar_sketch,hh:s:Georg:Mongghul
Hayashi,2010,yuka2010,Ikema (Miyako Ryukyuan),grammar_sketch,hh:s:Hayashi:Ikema
Hinds,1986,hinds1986,Japanese,grammar,hh:g:Hinds:Japanese
Martin,1988,,,,hh:g:Martin:Japanese
Kaiser,2013,stefan2013,Japanese: A Comprehensive Grammar,grammar,hh:g:Kaiser:Japanese
Ishizuka,2012,ishizuka2012,The Passive in Japanese. A cartographic minimalist approach,,benjamins:la.192.xml
Kim,2004,,Event-structure and the internally-headed relative clause construction in Korean and Japanese,,
Bläsing,2003,uwe2003,Kalmuck,grammar_sketch,hh:s:Blasing:Kalmuck
Piurbeev,1997,,,,hh:s:Pyurbeev:Kalmytskij
Benzing,1985,johannes1985,Kalmückische Grammatik zum Nachschlagen,grammar,hh:g:Benzing:Kalmuckische
Goto,2009,,Sistema finitnyh form proshedshego vremeni v kalmyckom jazyke,,
Wurm,1951,stefan1951,The Karakalpak Language,grammar_sketch,hh:s:Wurm:Karakalpak
Kara,2002,david2002,Kazak,grammar_sketch,hh:s:Kara:Kazak
Peacecorps,1995,,,,hh:g:PeaceCorps:Kazakh
Baskakov,1975,baskakov1975,Grammatika Xakasskogo Jazyka,grammar,hh:g:Baskakov:Xakasskogo
Doerfer,1988,gerhard1988,Grammatik des Chaladsch,grammar,hh:g:Doerfer:Chaladsch
Scerbak,1997,,,,hh:s:Scerbak:Xaladzskij
Janhunen,2012,,,,hh:g:Janhunen:Mongolian
Poppe,1954,,,,wals:4772
Kullmann,2001,kullmann2001,Mongolian Grammar,grammar,hh:g:KullmannTserenpil:Mongolian
Svantesson,2003,janolof2003,Khalkha,grammar_sketch,hh:s:Svantesson:Khalkha
Janhunen,2003,,,,hh:s:Janhunen:Khamnigan:2003
Janhunen,2005,juha2005,Khamnigan Mongol,grammar_sketch,hh:s:Janhunen:Khamnigan
Gruntov,p.c. 2020,,,,
Sohn,1994,sohn1994,Korean,grammar,hh:g:Sohn:Korean
Sohn,1999,sohn1999,The Korean language,grammar,hh:g:Sohn:Korean:1999
Gorelova,2002,liliya2002,Manchu Grammar,grammar,hh:g:Gorelova:Manchu
Tsumagari,1997,tsumagari1997,Linguistic Diversity and National Borders of Tungusic,overview;comparative,hh:hv:Tsumagari:Tungusic
Malchukov,p.c.2018,,,,
Slater,2003,keith2003,Mangghuer,grammar_sketch,hh:s:Slater:Mangghuer
Todaeva,1973,todaeva1973,"Mongorskij jazyk: issledovanie, teksty, slovar'",grammar_sketch;text;dictionary,hh:std:Todaeva:Mongorskij
Slater,in Janhunen 2003,keith2003,Mangghuer,grammar_sketch,hh:s:Slater:Mangghuer
Sohn,2012,sohn2012,Middle Korean,grammar_sketch,hh:s:Sohn:Middle-Korean
Sanzheev,1964,g1964,Staro-Pis'mennyj Mongol'skij Jazyk,grammar_sketch,hh:s:Sanzheev:Staro-Pismennyj-Mongolskij
Kuzmenkov,1997,,,,zurich:Kuzmenkov1997-2
Weiers,2003,michael2003,Moghol,grammar_sketch,hh:s:Weiers:Moghol
Avrorin,1959,"v1959, 1961",Grammatika Nanajskogo Jazyka,grammar,hh:g:Avrorin:Nanajskogo
Oskolskaya,p.c. 2018,,,,
Avrorin,1961,"v1959, 1961",Grammatika Nanajskogo Jazyka,grammar,hh:g:Avrorin:Nanajskogo
Tsintsius,1982,vera1982,Negidal'skij Yazyk,grammar,hh:g:Tsintius:Negidalskij
Tsintsius,1997,v1997,Negidalskij Jazyk,grammar_sketch,hh:s:Tsintsius:Negidalskij
Oskolskaya,p.c. 2017,,,,
Csato,1998,,,,hh:s:CsatoKarakoc:Noghay
Pellard,2010,thomas2010,Ōgami (Miyako Ryukyuan),grammar_sketch,hh:s:Pellard:Ogami
Pellard,2009,thomas2009,Ōgami: Éléments de description d'un parler du Sud des Ryūkyū,grammar,hh:g:Pellard:Ogami
Birtalan,2003,agnes2003,Oirat,grammar_sketch,hh:s:Birtalan:Oirat
van der Lubbe,2015,gijs2015,Okinoerabu grammar,grammar_sketch,hh:s:vanderLubbeTokunaga:Okinoerabu
Erdal,2004,marcel2004,A Grammar of Old Turkic,grammar,hh:g:Erdal:OTurkic
Boldyrev,2001,avrorin2001,Grammatika oročskogo jazyka,grammar,hh:g:AvrorinBoldyrev:Orocskogo
Tsumagari,2009,tsumagari2009,A sketch of Solon grammar,grammar_sketch,hh:s:Tsumagari:Solon
Lebedev,1978,lebedev1978,Jazyk evenov jakutii,grammar,hh:g:Lebedev:Evenov
Nugteren,2003,hans2003,Shira Yughur,grammar_sketch,hh:s:Nugteren:Yughur
Dyrenkova,1941,dyrenkova1941,Grammatika Šorskogo jazyka,grammar,hh:g:Dyrenkova:Shor
Kurpeshko-Tanagasheva,1993,Shorsko-russkij i russko-shorskij slovar,,,
Shimoji,2012,michinori2012,Northern Ryukyuan,grammar_sketch,hh:s:Shimoji:Northern-Ryukyuan
Aoi,2015,hayato2015,Tarama Miyako grammar,grammar_sketch,hh:s:Aoi:Tarama
Poppe,1963,poppe1963,Tatar manual: descriptive grammar and texts with a Tatar-English glossary,grammar,hh:g:Poppe:Tatar:1963
Savelev,p.c. 2018,,,,
Matayoshi,2010,satomi2010,Tsuken (Okinawan),grammar_sketch,hh:s:Matayoshi:Tsuken
Kornfilt,1997,kornfilt1997,Turkish,grammar,hh:g:Kornfilt:Turskish
Lewis,2001,,,,bowern:lew00
Clark,1998,clark1998,Turkmen reference grammar,grammar,hh:g:Clark:Turkmen
Krueger,1997,john1997,Tuvan Manual,grammar,hh:g:Krueger:Tuvan
Online Tuvan dictionary,tyvan.ru,,,,
Anderson and Harrison,1999,gregory1999,Tyvan,grammar_sketch,hh:s:AndersonHarrison:Tyvan
Harisson,2000,,,,hh:g:Harrison:Tuvan
Nikolaeva and Tolskaya,2001,irina2001,A Grammar of Udihe,grammar,hh:g:NikolaevaTolskaya:Udihe
Girfanova,2002,albina2002,Udeghe,grammar_sketch,hh:s:Girfanova:Udeghe
Sunik,1985,sunik1985,Ul'čskij jazyk: issledovanija i materialy,grammar_sketch;text;dictionary,hh:std:Sunik:Ulchskij
Petrova,1936,petrova1936,Ul'čskij dialekt nanajskogo jazyka,grammar_sketch,hh:s:Petrova:Ulcskij
