ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source,PoS,Function,Level
nort2697-GB105,nort2697,GB105,?,GB105-?,,Shiraliev (1971:1-407),verb,argument marking (non-core),word
nort2697-GB107,nort2697,GB107,1,GB107-1,,Shiraliev (1971:100); Shiraliev (1997:166),verb,negation,word
nort2697-GB108,nort2697,GB108,0,GB108-0,,Shiraliev (1971:1-407),verb,argument marking (non-core),word
nort2697-GB109,nort2697,GB109,0,GB109-0,Not mentioned.,Shiraliev (1971:110-112),verb,argument marking (core),word
nort2697-GB110,nort2697,GB110,0,GB110-0,Not mentioned.,"Shiraliev (1971:100-106, 123-138)",verb,TAME,word
nort2697-GB111,nort2697,GB111,0,GB111-0,Not mentioned.,Shiraliev (1971:1-407),verb,TAME+,word
nort2697-GB113,nort2697,GB113,1,GB113-1,,Shiraliev (1971:109),verb,valency,word
nort2697-GB114,nort2697,GB114,1,GB114-1,,Shiraliev (1971:107); Shiraliev (1997:164),verb,valency,word
nort2697-GB115,nort2697,GB115,1,GB115-1,,Shiraliev (1971:108); Shiraliev (1997:164),verb,valency,word
nort2697-GB116,nort2697,GB116,0,GB116-0,,Shiraliev (1971:1-407),verb,argument marking (core),word
nort2697-GB117,nort2697,GB117,1,GB117-1,,Shiraliev (1971:275),verb,non-verbal predication,clause
nort2697-GB118,nort2697,GB118,0,GB118-0,Not mentioned.,Shiraliev (1971:1-407),verb,verb complex,clause
nort2697-GB119,nort2697,GB119,1,GB119-1,,Shiraliev (1971:100),verb,TAME,clause
nort2697-GB120,nort2697,GB120,1,GB120-1,,Shiraliev (1971:101-103); Shiraliev (1997:164),verb,TAME,clause
nort2697-GB121,nort2697,GB121,1,GB121-1,,"Shiraliev (1971:118, 128-129)",verb,TAME,clause
nort2697-GB122,nort2697,GB122,0,GB122-0,Not mentioned.,Shiraliev (1971:1-407),verb,verb complex,word
nort2697-GB123,nort2697,GB123,1,GB123-1,,Shiraliev (1971:98-99),verb,verb complex,clause
nort2697-GB124,nort2697,GB124,0,GB124-0,,Shiraliev (1971:1-407),verb,valency,word
nort2697-GB126,nort2697,GB126,1,GB126-1,,Mehraliev (p.c. 2017),verb,non-verbal predication,clause
nort2697-GB127,nort2697,GB127,0,GB127-0,,Mehraliev (p.c. 2017),verb,non-verbal predication,clause
nort2697-GB129,nort2697,GB129,0,GB129-0,,Shiraliev (1971:1-407),verb,other,word
nort2697-GB131,nort2697,GB131,0,GB131-0,,Shiraliev (1997:169),verb,word order,clause
nort2697-GB132,nort2697,GB132,0,GB132-0,,Shiraliev (1997:169),verb,word order,clause
nort2697-GB133,nort2697,GB133,1,GB133-1,,Shiraliev (1997:169),verb,word order,clause
nort2697-GB134,nort2697,GB134,1,GB134-1,,Shiraliev (1971:385-389),not assignable,word order,clause
nort2697-GB135,nort2697,GB135,0,GB135-0,this construction is borrowed from Persian (see Kornfilt 1997:46),Shiraliev (1971:390-391),not assignable,word order,clause
nort2697-GB136,nort2697,GB136,1,GB136-1,,Shiraliev (1997:169),not assignable,word order,clause
nort2697-GB137,nort2697,GB137,1,GB137-1,,Shiraliev (1997:166),verb,negation,clause
nort2697-GB138,nort2697,GB138,0,GB138-0,,Shiraliev (1997:166),verb,negation,clause
nort2697-GB139,nort2697,GB139,1,GB139-1,,Mehraliev (p.c. 2017),verb,negation,clause
nort2697-GB140,nort2697,GB140,0,GB140-0,,Shiraliev (1997:166),verb,non-verbal predication,clause
nort2697-GB146,nort2697,GB146,0,GB146-0,,Mehraliev (p.c. 2017),noun,argument marking (core),multiple
nort2697-GB147,nort2697,GB147,1,GB147-1,,Shiraliev (1971:106-107); Shiraliev (1997:164),verb,valency,word
nort2697-GB148,nort2697,GB148,0,GB148-0,,Shiraliev (1971:1-407),verb,valency,word
nort2697-GB149,nort2697,GB149,0,GB149-0,,Shiraliev (1971:1-407),verb,argument marking (core),word
nort2697-GB150,nort2697,GB150,1,GB150-1,,Shiraliev (1971:144),verb,verb complex,clause
nort2697-GB151,nort2697,GB151,0,GB151-0,,Shiraliev (1971:1-407),verb,argument marking (core),clause
nort2697-GB152,nort2697,GB152,0,GB152-0,participles are used to distinguish the relative order of events,Shiraliev (1971:142-146),verb,TAME,clause
nort2697-GB155,nort2697,GB155,1,GB155-1,,Shiraliev (1971:109); Shiraliev (1997:164),verb,valency,word
nort2697-GB156,nort2697,GB156,0,GB156-0,,Shiraliev (1971:1-407),verb,valency,word
nort2697-GB158,nort2697,GB158,0,GB158-0,repeated forms do not constitute phonological words,Shiraliev (1971:102),verb,TAME+,word
nort2697-GB159,nort2697,GB159,?,GB159-?,it is not clear whether these constitute phonological words,Shiraliev (1971:43),noun,number,word
nort2697-GB160,nort2697,GB160,1,GB160-1,,Shiraliev (1971:152-153),adjective,other,word
nort2697-GB165,nort2697,GB165,0,GB165-0,,Shiraliev (1997:163),noun,number,word
nort2697-GB166,nort2697,GB166,0,GB166-0,,Shiraliev (1997:163),noun,number,word
nort2697-GB167,nort2697,GB167,0,GB167-0,,Shiraliev (1971:79),pronoun,deixis,clause
nort2697-GB170,nort2697,GB170,0,GB170-0,,Shiraliev (1997:163),adjective,class agreement,NP
nort2697-GB171,nort2697,GB171,0,GB171-0,,Shiraliev (1997:163),demonstrative,class agreement,NP
nort2697-GB172,nort2697,GB172,0,GB172-0,,Shiraliev (1997:163),multiple,class agreement,NP
nort2697-GB177,nort2697,GB177,0,GB177-0,,Shiraliev (1971:1-407),verb,argument marking (core),word
nort2697-GB184,nort2697,GB184,0,GB184-0,,Shiraliev (1971:59-60),adjective,number,NP
nort2697-GB185,nort2697,GB185,0,GB185-0,,Shiraliev (1971:82); Shiraliev (1997:165-166),demonstrative,number,NP
nort2697-GB186,nort2697,GB186,0,GB186-0,,Shiraliev (1997:165),article,number,NP
nort2697-GB187,nort2697,GB187,1,GB187-1,,Mehraliev (p.c. 2017),noun,denominal derivation,word
nort2697-GB188,nort2697,GB188,0,GB188-0,,Mehraliev (p.c. 2017),noun,denominal derivation,word
nort2697-GB192,nort2697,GB192,0,GB192-0,,Shiraliev (1997:163),multiple,class agreement,clause
nort2697-GB196,nort2697,GB196,0,GB196-0,,Shiraliev (1971:79),pronoun,deixis,word
nort2697-GB197,nort2697,GB197,0,GB197-0,,Shiraliev (1971:79),pronoun,deixis,word
nort2697-GB198,nort2697,GB198,0,GB198-0,,Shiraliev (1997:163),numeral,class agreement,NP
nort2697-GB204,nort2697,GB204,0,GB204-0,,Shiraliev (1971:88-93),other,quantification,multiple
nort2697-GB250,nort2697,GB250,0,GB250-0,,Mehraliev (p.c. 2017),verb,non-verbal predication,clause
nort2697-GB252,nort2697,GB252,1,GB252-1,,Mehraliev (p.c. 2017),multiple,non-verbal predication,clause
nort2697-GB253,nort2697,GB253,0,GB253-0,,Mehraliev (p.c. 2017),multiple,non-verbal predication,clause
nort2697-GB254,nort2697,GB254,1,GB254-1,,Mehraliev (p.c. 2017),multiple,non-verbal predication,clause
nort2697-GB256,nort2697,GB256,0,GB256-0,,Mehraliev (p.c. 2017),multiple,non-verbal predication,clause
nort2697-GB257,nort2697,GB257,1,GB257-1,,Shiraliev (1971:254-257); Shiraliev (1997:162),not assignable,interrogation,clause
nort2697-GB260,nort2697,GB260,0,GB260-0,,Shiraliev (1971:254-257),multiple,interrogation,clause
nort2697-GB262,nort2697,GB262,0,GB262-0,,Shiraliev (1971:254-257),particle,interrogation,clause
nort2697-GB263,nort2697,GB263,1,GB263-1,,Shiraliev (1971:254-257),particle,interrogation,clause
nort2697-GB264,nort2697,GB264,0,GB264-0,,Shiraliev (1971:254-257),particle,word order,clause
nort2697-GB265,nort2697,GB265,0,GB265-0,,Shiraliev (1971:47),verb,non-verbal predication,clause
